Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Apparition,1942.11.15,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-11-15_apparition.mp3&dl_series=The Whistler&dl_title=Apparition&dl_date=1942.11.15&dl_size=6.71 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Other Woman,1942.11.22,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-11-22_the_other_woman.mp3&dl_series=The Whistler&dl_title=The Other Woman&dl_date=1942.11.22&dl_size=6.71 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Avarice,1942.11.29,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-11-29_avarice.mp3&dl_series=The Whistler&dl_title=Avarice&dl_date=1942.11.29&dl_size=6.57 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Accounting,1942.12.13,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-12-13_the_accounting.mp3&dl_series=The Whistler&dl_title=The Accounting&dl_date=1942.12.13&dl_size=6.75 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Double Cross,1942.12.27,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1942-12-27_double_cross.mp3&dl_series=The Whistler&dl_title=Double Cross&dl_date=1942.12.27&dl_size=6.76 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Weakling,1943.01.03,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-01-03_the_weakling.mp3&dl_series=The Whistler&dl_title=The Weakling&dl_date=1943.01.03&dl_size=6.86 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Nemesis,1943.01.10,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-01-10_the_nemesis.mp3&dl_series=The Whistler&dl_title=The Nemesis&dl_date=1943.01.10&dl_size=6.85 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Thief,1943.01.17,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-01-17_the_thief.mp3&dl_series=The Whistler&dl_title=The Thief&dl_date=1943.01.17&dl_size=6.76 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Mind Over Matter,1943.01.24,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-01-24_mind_over_matter.mp3&dl_series=The Whistler&dl_title=Mind Over Matter&dl_date=1943.01.24&dl_size=6.83 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Confession,1943.01.31,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-01-31_the_confession.mp3&dl_series=The Whistler&dl_title=The Confession&dl_date=1943.01.31&dl_size=6.79 MB
